t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp
0.01,877,0.500570125427594,0.5062713797035348,0.5034562211981567,0.9954441913439636,0.6687069625095639,0.015981735159817313,7,431,2,437
0.02,877,0.500570125427594,0.5952109464082098,0.5573770491803278,0.929384965831435,0.6968403074295474,0.2602739726027391,114,324,31,408
0.03,877,0.500570125427594,0.6887115165336374,0.6383333333333333,0.8724373576309795,0.737247353224254,0.5045662100456609,221,217,56,383
0.04,877,0.500570125427594,0.734321550741163,0.6988416988416989,0.8246013667425968,0.7565308254963428,0.6438356164383546,282,156,77,362
0.05,877,0.500570125427594,0.7491448118586089,0.7248459958932238,0.8041002277904328,0.7624190064794817,0.6940639269406377,304,134,86,353
0.060000000000000005,877,0.500570125427594,0.758266818700114,0.7494505494505495,0.7767653758542141,0.7628635346756152,0.7397260273972586,324,114,98,341
0.06999999999999999,877,0.500570125427594,0.7651083238312428,0.76905311778291,0.7585421412300684,0.7637614678899083,0.7716894977168932,338,100,106,333
0.08,877,0.500570125427594,0.7673888255416191,0.7831325301204819,0.7403189066059226,0.7611241217798594,0.7945205479452037,348,90,114,325
0.09,877,0.500570125427594,0.7730900798175598,0.7955665024630542,0.7357630979498861,0.7644970414201183,0.8105022831050209,355,83,116,323
0.09999999999999999,877,0.500570125427594,0.7833523375142531,0.8200514138817481,0.7266514806378133,0.7705314009661836,0.8401826484018245,368,70,120,319
0.11,877,0.500570125427594,0.7844925883694412,0.8272251308900523,0.7198177676537585,0.7697929354445798,0.8493150684931488,372,66,123,316
0.12,877,0.500570125427594,0.7856328392246295,0.8328912466843501,0.715261958997722,0.7696078431372549,0.8561643835616418,375,63,125,314
0.13,877,0.500570125427594,0.7810718358038768,0.8365122615803815,0.6993166287015945,0.7617866004962779,0.863013698630135,378,60,132,307
0.14,877,0.500570125427594,0.7844925883694412,0.8453038674033149,0.6970387243735763,0.7640449438202247,0.8721461187214592,382,56,133,306
0.15000000000000002,877,0.500570125427594,0.7879133409350056,0.8543417366946778,0.6947608200455581,0.7663316582914573,0.8812785388127833,386,52,134,305
0.16,877,0.500570125427594,0.7867730900798175,0.8539325842696629,0.6924829157175398,0.7647798742138365,0.8812785388127833,386,52,135,304
0.17,877,0.500570125427594,0.7867730900798175,0.8559322033898306,0.6902050113895216,0.7641866330390921,0.8835616438356144,387,51,136,303
0.18000000000000002,877,0.500570125427594,0.7856328392246295,0.8555240793201133,0.6879271070615034,0.7626262626262627,0.8835616438356144,387,51,137,302
0.19,877,0.500570125427594,0.7833523375142531,0.8547008547008547,0.683371298405467,0.759493670886076,0.8835616438356144,387,51,139,300
0.2,877,0.500570125427594,0.7799315849486887,0.853448275862069,0.6765375854214123,0.7547649301143583,0.8835616438356144,387,51,142,297
0.21000000000000002,877,0.500570125427594,0.7776510832383124,0.8546511627906976,0.6697038724373576,0.7509578544061303,0.8858447488584454,388,50,145,294
0.22,877,0.500570125427594,0.7753705815279361,0.8622754491017964,0.6560364464692483,0.7451487710219923,0.8949771689497696,392,46,151,288
0.23,877,0.500570125427594,0.7730900798175598,0.8658536585365854,0.6469248291571754,0.7405475880052151,0.8995433789954317,394,44,155,284
0.24000000000000002,877,0.500570125427594,0.7719498289623717,0.8676923076923077,0.642369020501139,0.7382198952879581,0.9018264840182627,395,43,157,282
