t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp,model,split
0.01,877,0.500570125427594,0.6054732041049031,0.5630936227951153,0.9453302961275627,0.70578231292517,0.2648401826484012,116,322,24,415,Baseline+ECA+LSMF,external_calib
0.02,877,0.500570125427594,0.7673888255416191,0.7345309381237525,0.8382687927107062,0.7829787234042553,0.6963470319634687,305,133,71,368,Baseline+ECA+LSMF,external_calib
0.03,877,0.500570125427594,0.7958950969213227,0.7941176470588235,0.7995444191343963,0.7968217934165721,0.7922374429223725,347,91,88,351,Baseline+ECA+LSMF,external_calib
0.04,877,0.500570125427594,0.806157354618016,0.8354114713216958,0.7630979498861048,0.7976190476190477,0.8493150684931488,372,66,104,335,Baseline+ECA+LSMF,external_calib
0.05,877,0.500570125427594,0.8084378563283923,0.8632707774798928,0.7334851936218679,0.7931034482758621,0.8835616438356144,387,51,117,322,Baseline+ECA+LSMF,external_calib
0.060000000000000005,877,0.500570125427594,0.8072976054732041,0.875,0.7175398633257403,0.7884856070087609,0.8972602739726007,393,45,124,315,Baseline+ECA+LSMF,external_calib
0.06999999999999999,877,0.500570125427594,0.8118586088939567,0.8936781609195402,0.7084282460136674,0.7903430749682337,0.915525114155249,401,37,128,311,Baseline+ECA+LSMF,external_calib
0.08,877,0.500570125427594,0.8118586088939567,0.9005847953216374,0.7015945330296127,0.7887323943661971,0.9223744292237421,404,34,131,308,Baseline+ECA+LSMF,external_calib
0.09,877,0.500570125427594,0.8107183580387686,0.9074626865671642,0.6924829157175398,0.7855297157622739,0.9292237442922353,407,31,135,304,Baseline+ECA+LSMF,external_calib
0.09999999999999999,877,0.500570125427594,0.8050171037628279,0.9085365853658537,0.6788154897494305,0.7770534550195567,0.9315068493150663,408,30,141,298,Baseline+ECA+LSMF,external_calib
0.11,877,0.500570125427594,0.8027366020524516,0.9130434782608695,0.6697038724373576,0.7726675427069645,0.9360730593607284,410,28,145,294,Baseline+ECA+LSMF,external_calib
0.12,877,0.500570125427594,0.798175598631699,0.9119496855345912,0.6605922551252847,0.7661822985468957,0.9360730593607284,410,28,149,290,Baseline+ECA+LSMF,external_calib
0.13,877,0.500570125427594,0.7936145952109465,0.910828025477707,0.6514806378132119,0.7596281540504648,0.9360730593607284,410,28,153,286,Baseline+ECA+LSMF,external_calib
0.14,877,0.500570125427594,0.7913340935005702,0.9102564102564102,0.6469248291571754,0.7563249001331558,0.9360730593607284,410,28,155,284,Baseline+ECA+LSMF,external_calib
0.15000000000000002,877,0.500570125427594,0.790193842645382,0.909967845659164,0.6446469248291572,0.7546666666666667,0.9360730593607284,410,28,156,283,Baseline+ECA+LSMF,external_calib
0.16,877,0.500570125427594,0.7879133409350056,0.9093851132686084,0.6400911161731208,0.7513368983957219,0.9360730593607284,410,28,158,281,Baseline+ECA+LSMF,external_calib
0.17,877,0.500570125427594,0.7867730900798175,0.9090909090909091,0.6378132118451025,0.749665327978581,0.9360730593607284,410,28,159,280,Baseline+ECA+LSMF,external_calib
0.18000000000000002,877,0.500570125427594,0.7879133409350056,0.9120521172638436,0.6378132118451025,0.7506702412868632,0.9383561643835594,411,27,159,280,Baseline+ECA+LSMF,external_calib
0.19,877,0.500570125427594,0.7879133409350056,0.9120521172638436,0.6378132118451025,0.7506702412868632,0.9383561643835594,411,27,159,280,Baseline+ECA+LSMF,external_calib
0.2,877,0.500570125427594,0.7879133409350056,0.9120521172638436,0.6378132118451025,0.7506702412868632,0.9383561643835594,411,27,159,280,Baseline+ECA+LSMF,external_calib
0.21000000000000002,877,0.500570125427594,0.7867730900798175,0.9117647058823529,0.6355353075170843,0.748993288590604,0.9383561643835594,411,27,160,279,Baseline+ECA+LSMF,external_calib
0.22,877,0.500570125427594,0.7844925883694412,0.9111842105263158,0.6309794988610479,0.7456258411843876,0.9383561643835594,411,27,162,277,Baseline+ECA+LSMF,external_calib
0.23,877,0.500570125427594,0.7844925883694412,0.9111842105263158,0.6309794988610479,0.7456258411843876,0.9383561643835594,411,27,162,277,Baseline+ECA+LSMF,external_calib
0.24000000000000002,877,0.500570125427594,0.7844925883694412,0.9111842105263158,0.6309794988610479,0.7456258411843876,0.9383561643835594,411,27,162,277,Baseline+ECA+LSMF,external_calib
0.25,877,0.500570125427594,0.7833523375142531,0.9108910891089109,0.6287015945330297,0.7439353099730458,0.9383561643835594,411,27,163,276,Baseline+ECA+LSMF,external_calib
0.26,877,0.500570125427594,0.7844925883694412,0.9139072847682119,0.6287015945330297,0.7449392712550608,0.9406392694063905,412,26,163,276,Baseline+ECA+LSMF,external_calib
0.27,877,0.500570125427594,0.7844925883694412,0.9139072847682119,0.6287015945330297,0.7449392712550608,0.9406392694063905,412,26,163,276,Baseline+ECA+LSMF,external_calib
0.28,877,0.500570125427594,0.7844925883694412,0.9139072847682119,0.6287015945330297,0.7449392712550608,0.9406392694063905,412,26,163,276,Baseline+ECA+LSMF,external_calib
0.29000000000000004,877,0.500570125427594,0.7844925883694412,0.9139072847682119,0.6287015945330297,0.7449392712550608,0.9406392694063905,412,26,163,276,Baseline+ECA+LSMF,external_calib
0.3,877,0.500570125427594,0.7856328392246295,0.9169435215946844,0.6287015945330297,0.745945945945946,0.9429223744292216,413,25,163,276,Baseline+ECA+LSMF,external_calib
0.31,877,0.500570125427594,0.7844925883694412,0.9166666666666666,0.6264236902050114,0.7442489851150202,0.9429223744292216,413,25,164,275,Baseline+ECA+LSMF,external_calib
0.32,877,0.500570125427594,0.7833523375142531,0.9163879598662207,0.6241457858769932,0.7425474254742548,0.9429223744292216,413,25,165,274,Baseline+ECA+LSMF,external_calib
0.33,877,0.500570125427594,0.7833523375142531,0.9163879598662207,0.6241457858769932,0.7425474254742548,0.9429223744292216,413,25,165,274,Baseline+ECA+LSMF,external_calib
0.34,877,0.500570125427594,0.7810718358038768,0.9158249158249159,0.6195899772209568,0.7391304347826086,0.9429223744292216,413,25,167,272,Baseline+ECA+LSMF,external_calib
0.35000000000000003,877,0.500570125427594,0.7822120866590649,0.918918918918919,0.6195899772209568,0.7401360544217687,0.9452054794520526,414,24,167,272,Baseline+ECA+LSMF,external_calib
0.36000000000000004,877,0.500570125427594,0.7822120866590649,0.918918918918919,0.6195899772209568,0.7401360544217687,0.9452054794520526,414,24,167,272,Baseline+ECA+LSMF,external_calib
